,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
201,Lafayette Ave & St James Pl,399.0,4432,770.5620487364621,40.6885153400045,-73.96476280000181,2014
202,Lafayette St & E 8 St,293.0,86692,677.5216628985373,40.73028666003278,-73.99076469993348,2014
203,Lafayette St & Jersey St,250.0,44081,747.2114970168553,40.724560890045986,-73.99565292999212,2014
204,Laight St & Hudson St,248.0,7617,889.7099908100301,40.72185378999481,-74.00771779000696,2014
205,Lawrence St & Willoughby St,323.0,13521,774.9345462613712,40.69236177998969,-73.9863174599842,2014
206,Lefferts Pl & Franklin Ave,396.0,5234,1094.3226977455101,40.68034242300158,-73.95576893920536,2014
207,Leonard St & Church St,320.0,13746,823.6432416703041,40.71757099998986,-74.00554899999452,2014
208,Lexington Ave & Classon Ave,120.0,4005,1006.2973782771536,40.686767929999675,-73.95928167999956,2014
209,Lexington Ave & E 24 St,537.0,39459,707.6688714868598,40.74025878001467,-73.98409214006342,2014
210,Lexington Ave & E 26 St,540.0,41648,698.4499135612755,40.74147286003123,-73.9832092799601,2014
211,Liberty St & Broadway,195.0,27897,955.6784600494677,40.70905623002237,-74.01043382002912,2014
212,Lispenard St & Broadway,257.0,22545,773.1803060545576,40.71939225998574,-74.00247213996705,2014
213,Little West St & 1 Pl,2008.0,21491,1176.358475640966,40.705692540011384,-74.01677684998522,2014
214,MacDougal St & Prince St,128.0,41063,804.2372939142293,40.72710258001119,-74.00297087993702,2014
215,MacDougal St & Washington Sq,252.0,24349,764.4214546798637,40.73226397999088,-73.99852204998363,2014
216,Macon St & Nostrand Ave,437.0,2790,1041.1397849462367,40.6809833854019,-73.95004797590077,2014
217,Madison St & Clinton St,340.0,12891,769.8617640214103,40.71269041999421,-73.98776322999197,2014
218,Madison St & Montgomery St,291.0,13185,849.1783845278726,40.713126000006085,-73.98484399998728,2014
219,Maiden Ln & Pearl St,264.0,19392,889.155579620462,40.7070645600033,-74.00731852999891,2014
220,Market St & Cherry St,408.0,9844,870.1676147907355,40.710762279996466,-73.99400397999418,2014
221,Mercer St & Bleecker St,375.0,41561,774.2692909217776,40.72679453996796,-73.99695094007035,2014
222,Mercer St & Spring St,303.0,24990,884.3745898359343,40.72362737998509,-73.99949600996221,2014
223,Metropolitan Ave & Bedford Ave,539.0,17176,1394.7047624592456,40.71534824999981,-73.96024115998557,2014
224,Monroe St & Bedford Ave,344.0,4550,1025.1518681318682,40.68514429999872,-73.95380903999923,2014
225,Monroe St & Classon Ave,289.0,2195,921.6346241457859,40.684568299999306,-73.95881080999972,2014
226,Montague St & Clinton St,314.0,486,1314.897119341564,40.69424674000029,-73.99215922000023,2014
227,Mott St & Prince St,251.0,38552,816.404414816352,40.72317957996464,-73.99480011999754,2014
228,Murray St & West St,309.0,18576,1033.4290482342808,40.71497870000585,-74.0130119999816,2014
229,Myrtle Ave & St Edwards St,245.0,3330,718.5435435435436,40.69327017999869,-73.97703874000398,2014
230,Nassau St & Navy St,144.0,3944,1419.6926977687626,40.698398949997724,-73.98068913999973,2014
231,Norfolk St & Broome St,311.0,18993,761.7332175011846,40.717227400010245,-73.98802084001817,2014
232,Old Fulton St,217.0,13106,1498.1368838699832,40.7027715899885,-73.99383605001306,2014
233,Old Slip & Front St,337.0,12213,1098.4045689019897,40.70379920000781,-74.00838676001203,2014
234,Park Ave & St Edwards St,119.0,1815,811.5112947658403,40.69608940999962,-73.97803415000082,2014
235,Park Pl & Church St,319.0,18624,882.308956185567,40.71336123999398,-74.00937622000593,2014
236,Pearl St & Anchorage Pl,414.0,9339,1071.1895277867009,40.70281857999184,-73.98765761999172,2014
237,Pearl St & Hanover Square,415.0,18285,1032.1338802296964,40.70471770001211,-74.00926027002485,2014
238,Peck Slip & Front Street,279.0,9275,1170.5051212938006,40.70787300000541,-74.00167000001595,2014
239,Perry St & Bleecker St,247.0,22529,830.1458564516845,40.735353979987224,-74.00483090996522,2014
240,Pershing Square N,519.0,6353,746.8026129387691,40.751884060003725,-73.97770163999269,2014
241,Pershing Square North,519.0,29476,806.7859275342652,40.75187299998304,-73.97770599998825,2014
242,Pershing Square S,517.0,3058,802.8783518639634,40.75149263000263,-73.97798848000178,2014
243,Pershing Square South,517.0,10702,766.3839469258082,40.75158099999308,-73.97791000000872,2014
244,Pike St & E Broadway,295.0,18306,788.4504534032558,40.714066670010126,-73.99293910998722,2014
245,Pike St & Monroe St,331.0,10520,854.2881178707224,40.71173107000808,-73.99193043001736,2014
246,Pitt St & Stanton St,400.0,6758,897.1182302456348,40.719260810001195,-73.98178024000879,2014
247,Railroad Ave & Kay Ave,2005.0,843,970.8742586002372,40.70531194000048,-73.97100055999921,2014
248,Reade St & Broadway,330.0,18880,884.8353813559322,40.71450451001015,-74.00562788997199,2014
249,Rivington St & Chrystie St,473.0,20759,840.5031552579604,40.72110063000529,-73.9919253999871,2014
250,Rivington St & Ridge St,349.0,15325,860.0505709624796,40.71850210998976,-73.98329859002187,2014
251,S 3 St & Bedford Ave,481.0,7193,1344.5135548449882,40.71260485999771,-73.96264402999364,2014
252,S 4 St & Wythe Ave,460.0,7591,1373.143854564616,40.71285887000373,-73.96590294000988,2014
253,S 5 Pl & S 4 St,532.0,19405,1369.7491883535172,40.710451000013016,-73.9608760000288,2014
254,S Portland Ave & Hanson Pl,353.0,5438,1076.445752114748,40.68539567000483,-73.97431457999173,2014
